order_id,customer_id,product,amount,order_date,status
O00427,C0058,USB-C Hub,4964.71,10-04-2024,Cancelled
O00145,C0060,Cable Organizer,25210.14,02-15-2025,refunded
O00322,C0086,Cable Organizer,25565.34,24/01/2023,canceled
O00101,C0043,Webcam HD,18248.26,11-21-2025,Done
O00107,C0090,Mechanical Keyboard,6798.02,07/05/2025,Refunded
O00483,C0018,Webcam HD,5920.53,07-29-2024,COMPLETED
O00189,C0041,Ergonomic Chair,3862.41,29/06/2025,completed
O00251,C0057,Wireless Mouse,429.99,2025-05-14,canceled
O00341,C0104,Desk Lamp,4546.71,2025-06-10,refunded
O00044,C0048,Desk Lamp,1131.36,11-17-2024,done
O00413,C0074,Webcam HD,3216.58,09/10/2024,REFUNDED
O00139,C0054,Webcam HD,19801.87,09-23-2024,Refunded
O00105,C0034,Cable Organizer,27433.99,04-16-2023,PENDING
O00169,C0046,USB-C Hub,5026.69,2023-05-01,REFUNDED
O00155,C0091,USB-C Hub,28231.1,04-25-2025,Completed
O00297,C0048,Cable Organizer,22115.5,06-14-2024,COMPLETED
O00238,C0111,Cable Organizer,4571.18,2023-10-27,Done
O00180,C0118,Wireless Mouse,8156.59,06/04/2023,REFUNDED
O00381,C0056,Cable Organizer,,24/02/2025,refunded
O00163,C0046,Notebook Pack,9264.68,21/07/2023,REFUNDED
O00199,C0089,Desk Lamp,16842.97,15/10/2024,pending
O00140,C0051,Notebook Pack,,05-30-2023,Pending
O00010,C0038,Ergonomic Chair,4330.57,05-31-2025,REFUNDED
O00009,C0077,Wireless Mouse,416.9,2023-10-09,Cancelled
O00109,C0067,Desk Lamp,19696.46,02-10-2025,REFUNDED
O00150,C0030,Portable Charger,20227.02,2024-09-10,canceled
O00029,C0075,Cable Organizer,5077.92,13/03/2025,Canceled
O00243,C0102,Whiteboard Marker Set,14009.8,2025-10-10,refunded
O00318,C0094,Portable Charger,10413.22,01-04-2023,pending
O00064,C0102,Wireless Mouse,2764.26,16/11/2025,CANCELLED
O00079,C0113,Whiteboard Marker Set,22446.46,2025-06-05,pending
O00193,C0011,Portable Charger,31554.49,12-14-2023,PENDING
O00331,C0013,Wireless Mouse,13842.04,2023-04-22,REFUNDED
O00201,C0101,Monitor Stand,12870.16,01-04-2024,Pending
O00373,C0029,Ergonomic Chair,7932.2,09/11/2024,Cancelled
O00058,C0111,Wireless Mouse,30322.94,12/09/2023,canceled
O00171,C0081,Desk Lamp,2517.75,2024-03-23,Done
O00274,C0110,Standing Desk Mat,5964.98,30/07/2023,pending
O00329,C0056,USB-C Hub,2015.47,2024-01-25,canceled
O00214,C0015,Wireless Mouse,29743.77,12-03-2023,done
O00300,C0056,Portable Charger,13915.1,23/05/2025,completed
O00072,C0010,Webcam HD,6166.25,2024-10-16,Refunded
O00168,C0106,Webcam HD,33832.78,11/12/2023,REFUNDED
O00288,C0073,Wireless Mouse,15308.59,2024-08-20,Done
O00219,C0069,USB-C Hub,12897.25,22/08/2023,Pending
O00024,C0061,Whiteboard Marker Set,5406.66,31/07/2023,Completed
O00410,C0120,USB-C Hub,17768.54,05/12/2023,REFUNDED
O00320,C0079,Desk Lamp,22441.33,16/10/2023,done
O00366,C0034,Cable Organizer,24931.33,2023-11-04,Cancelled
O00484,C0024,USB-C Hub,12772.83,04-16-2024,done
O00166,C0075,Standing Desk Mat,25242.14,2024-02-06,Cancelled
O00279,C0087,Wireless Mouse,6399.33,22/05/2023,Completed
O00298,C0010,Wireless Mouse,34901.07,06-27-2025,Pending
O00230,C0059,Standing Desk Mat,26026.5,11-12-2025,REFUNDED
O00130,C0093,Standing Desk Mat,547.55,04-28-2024,Canceled
O00078,C0041,Cable Organizer,2733.73,11-25-2025,Refunded
O00063,C0006,Portable Charger,30470.67,06-09-2025,Canceled
O00049,C0064,Standing Desk Mat,18831.01,10-22-2023,PENDING
O00117,C0079,Portable Charger,20600.63,2024-04-07,PENDING
O00505,C9904,Portable Charger,2080.33,2023-10-10,completed
O00302,C0079,Desk Lamp,22707.3,08/09/2025,REFUNDED
O00099,C0013,Monitor Stand,13155.34,01-18-2025,canceled
O00031,C0086,Portable Charger,29039.05,05-17-2025,COMPLETED
O00291,C0060,Ergonomic Chair,14316.37,2025-07-14,Canceled
O00126,C0002,Portable Charger,11897.7,01-31-2024,Cancelled
O00352,C0078,Cable Organizer,3260.74,2025-04-13,Refunded
O00426,C0078,Portable Charger,26718.52,03/12/2024,cancelled
O00002,C0098,Notebook Pack,32265.5,2024-01-07,Canceled
O00241,C0096,Notebook Pack,24360.12,26/09/2025,Canceled
O00493,C0106,USB-C Hub,21251.66,21/03/2023,pending
O00127,C0110,Cable Organizer,31411.84,11-02-2024,refunded
O00053,C0094,Cable Organizer,22044.38,2023-04-01,canceled
O00409,C0085,Cable Organizer,,04-22-2023,Done
O00198,C0105,Cable Organizer,34101.73,18/10/2024,Done
O00097,C0007,Standing Desk Mat,19728.88,08-14-2024,Canceled
O00012,C0006,Monitor Stand,802.16,29/05/2025,COMPLETED
O00459,C0114,Portable Charger,22730.38,10-17-2023,completed
O00305,C0101,Webcam HD,12138.93,07/07/2024,canceled
O00388,C0022,Mechanical Keyboard,12925.08,07/06/2024,Completed
O00228,C0053,Cable Organizer,17286.14,09/12/2023,Refunded
O00354,C0091,Whiteboard Marker Set,14207.38,2024-01-30,completed
O00154,C0039,Monitor Stand,6557.37,2024-04-06,REFUNDED
O00428,C0120,Whiteboard Marker Set,22195.16,2024-08-18,Pending
O00159,C0076,Portable Charger,23549.72,03/03/2024,Pending
O00496,C0006,Portable Charger,18613.64,19/02/2025,PENDING
O00213,C0093,Portable Charger,15917.24,02/04/2023,COMPLETED
O00184,C0095,USB-C Hub,,12-09-2024,COMPLETED
O00192,C0101,Ergonomic Chair,30250.44,27/04/2025,completed
